"id","age","gender","trial","easy_hard","rating"
54326446,32,"male","17_InitNumber","hard",3
54326446,32,"male","17_InitNumber","easy",1
54326446,32,"male","22_Number","hard",2
54326446,32,"male","22_Number","easy",1
54326446,32,"male","7_Number","easy",8
54326446,32,"male","7_Number","hard",27
54326446,32,"male","31_InitNumber","easy",1
54326446,32,"male","31_InitNumber","hard",13
54326446,32,"male","28_Stability","hard",50
54326446,32,"male","28_Stability","easy",17
54326446,32,"male","36_Distance","easy",56
54326446,32,"male","36_Distance","hard",43
54326446,32,"male","20_Stability","easy",37
54326446,32,"male","20_Stability","hard",98
54326446,32,"male","13_Sampling","hard",3
54326446,32,"male","13_Sampling","easy",1
54326446,32,"male","29_Number","hard",50
54326446,32,"male","29_Number","easy",4
54326446,32,"male","12_Number","easy",73
54326446,32,"male","12_Number","hard",68
54326446,32,"male","35_Distance","hard",37
54326446,32,"male","35_Distance","easy",37
54326446,32,"male","23_InitNumber","hard",12
54326446,32,"male","23_InitNumber","easy",28
54326446,32,"male","26_Number","hard",25
54326446,32,"male","26_Number","easy",16
54326446,32,"male","33_Pattern","easy",34
54326446,32,"male","33_Pattern","hard",80
54326446,32,"male","8_Number","easy",5
54326446,32,"male","8_Number","hard",26
54326446,32,"male","27_Sampling","easy",13
54326446,32,"male","27_Sampling","hard",7
54326446,32,"male","11_InitSorted","easy",4
54326446,32,"male","11_InitSorted","hard",4
54326446,32,"male","9_InitNumber","hard",2
54326446,32,"male","9_InitNumber","easy",1
54326446,32,"male","18_Stability","easy",18
54326446,32,"male","18_Stability","hard",94
54326446,32,"male","25_InitSorted","easy",51
54326446,32,"male","25_InitSorted","hard",50
54326446,32,"male","16_Number","easy",1
54326446,32,"male","16_Number","hard",9
54326446,32,"male","14_Stability","hard",16
54326446,32,"male","14_Stability","easy",2
54326446,32,"male","34_Stability","easy",16
54326446,32,"male","34_Stability","hard",70
54326446,32,"male","19_Pattern","hard",57
54326446,32,"male","19_Pattern","easy",2
54326446,32,"male","21_Number","hard",3
54326446,32,"male","21_Number","easy",2
54326446,32,"male","30_Number","easy",2
54326446,32,"male","30_Number","hard",2
54326446,32,"male","24_Stability","easy",2
54326446,32,"male","24_Stability","hard",94
54326446,32,"male","15_Number","hard",4
54326446,32,"male","15_Number","easy",3
54326446,32,"male","10_Stability","hard",30
54326446,32,"male","10_Stability","easy",3
77709894,28,"female","29_Number","hard",40
77709894,28,"female","29_Number","easy",1
77709894,28,"female","12_Number","hard",5
77709894,28,"female","12_Number","easy",1
77709894,28,"female","19_Pattern","hard",20
77709894,28,"female","19_Pattern","easy",3
77709894,28,"female","24_Stability","hard",98
