"id","age","age_rounded","gender","question_type","trial_number","trial_type","correct","trial"
57964131,3.69,3,"m","easier",1,"simple",1,"Number1"
57964131,3.69,3,"m","easier",2,"simple",1,"Stability"
57964131,3.69,3,"m","easier",3,"simple",1,"Number&Stability"
57964131,3.69,3,"m","easier",4,"simple",1,"Number3"
57964131,3.69,3,"m","easier",5,"simple",1,"Number4"
57964131,3.69,3,"m","easier",6,"simple",0,"Number2"
57964131,3.69,3,"m","easier",7,"complex",0,"Process2"
57964131,3.69,3,"m","easier",8,"complex",0,"Probability"
57964131,3.69,3,"m","easier",9,"complex",1,"Process1"
57964131,3.69,3,"m","easier",10,"complex",0,"Pattern"
57964131,3.69,3,"m","easier",11,"agent",1,"Agent3"
57964131,3.69,3,"m","easier",12,"agent",1,"Agent1"
57964131,3.69,3,"m","easier",13,"agent",0,"Agent2"
58421926,3.78,3,"f","harder",1,"simple",0,"Number1"
58421926,3.78,3,"f","harder",2,"simple",1,"Number3"
58421926,3.78,3,"f","harder",3,"simple",1,"Number4"
58421926,3.78,3,"f","harder",4,"simple",1,"Number&Stability"
58421926,3.78,3,"f","harder",5,"simple",1,"Number2"
58421926,3.78,3,"f","harder",6,"simple",0,"Stability"
58421926,3.78,3,"f","harder",7,"complex",1,"Pattern"
58421926,3.78,3,"f","harder",8,"complex",1,"Process2"
58421926,3.78,3,"f","harder",9,"complex",1,"Process1"
58421926,3.78,3,"f","harder",10,"complex",1,"Probability"
58421926,3.78,3,"f","harder",11,"agent",1,"Agent3"
58421926,3.78,3,"f","harder",12,"agent",1,"Agent2"
58421926,3.78,3,"f","harder",13,"agent",1,"Agent1"
42865942,3.2,3,"f","harder",1,"simple",1,"Number3"
42865942,3.2,3,"f","harder",2,"simple",1,"Stability"
42865942,3.2,3,"f","harder",3,"simple",1,"Number1"
42865942,3.2,3,"f","harder",4,"simple",1,"Number4"
42865942,3.2,3,"f","harder",5,"simple",0,"Number&Stability"
42865942,3.2,3,"f","harder",6,"simple",0,"Number2"
42865942,3.2,3,"f","harder",7,"complex",1,"Probability"
42865942,3.2,3,"f","harder",8,"complex",1,"Process1"
42865942,3.2,3,"f","harder",9,"complex",0,"Process2"
42865942,3.2,3,"f","harder",10,"complex",1,"Pattern"
42865942,3.2,3,"f","harder",11,"agent",1,"Agent2"
42865942,3.2,3,"f","harder",12,"agent",0,"Agent3"
42865942,3.2,3,"f","harder",13,"agent",1,"Agent1"
66357168,3.45,3,"m","easier",1,"simple",1,"Number4"
66357168,3.45,3,"m","easier",2,"simple",0,"Number3"
66357168,3.45,3,"m","easier",3,"simple",1,"Number&Stability"
66357168,3.45,3,"m","easier",4,"simple",1,"Number2"
66357168,3.45,3,"m","easier",5,"simple",0,"Number1"
66357168,3.45,3,"m","easier",6,"simple",1,"Stability"
66357168,3.45,3,"m","easier",7,"complex",1,"Process1"
66357168,3.45,3,"m","easier",8,"complex",0,"Probability"
66357168,3.45,3,"m","easier",9,"complex",0,"Pattern"
66357168,3.45,3,"m","easier",10,"complex",1,"Process2"
66357168,3.45,3,"m","easier",11,"agent",1,"Agent3"
66357168,3.45,3,"m","easier",12,"agent",0,"Agent2"
66357168,3.45,3,"m","easier",13,"agent",0,"Agent1"
35720447,3.61,3,"m","harder",1,"simple",0,"Number2"
35720447,3.61,3,"m","harder",2,"simple",1,"Number3"
35720447,3.61,3,"m","harder",3,"simple",1,"Number1"
35720447,3.61,3,"m","harder",4,"simple",0,"Stability"
35720447,3.61,3,"m","harder",5,"simple",1,"Number&Stability"
35720447,3.61,3,"m","harder",6,"simple",1,"Number4"
35720447,3.61,3,"m","harder",7,"complex",0,"Process1"
35720447,3.61,3,"m","harder",8,"complex",1,"Process2"
35720447,3.61,3,"m","harder",9,"complex",1,"Probability"
35720447,3.61,3,"m","harder",10,"complex",1,"Pattern"
35720447,3.61,3,"m","harder",11,"agent",0,"Agent1"
35720447,3.61,3,"m","harder",12,"agent",1,"Agent3"
35720447,3.61,3,"m","harder",13,"agent",1,"Agent2"
10536636,3.12,3,"m","easier",1,"simple",1,"Number&Stability"
10536636,3.12,3,"m","easier",2,"simple",1,"Number1"
10536636,3.12,3,"m","easier",3,"simple",0,"Number2"
10536636,3.12,3,"m","easier",4,"simple",0,"Number4"
10536636,3.12,3,"m","easier",5,"simple",1,"Stability"
10536636,3.12,3,"m","easier",6,"simple",1,"Number3"
10536636,3.12,3,"m","easier",7,"complex",1,"Probability"
10536636,3.12,3,"m","easier",8,"complex",0,"Process2"
10536636,3.12,3,"m","easier",9,"complex",1,"Process1"
10536636,3.12,3,"m","easier",10,"complex",0,"Pattern"
10536636,3.12,3,"m","easier",11,"agent",0,"Agent1"
10536636,3.12,3,"m","easier",12,"agent",1,"Agent3"
10536636,3.12,3,"m","easier",13,"agent",1,"Agent2"
14515086,3.28,3,"m","easier",1,"simple",0,"Number1"
14515086,3.28,3,"m","easier",2,"simple",0,"Number4"
