trial_name,run_num,trial_tree_path,trial_symbolic_plan,trial_symbolic_plan_len,KE,total_instability
diff 9_1,1,1_1_1_1,"[[GR b1], [FR b1 table], [GR b0], [FR b0 table]]",4,73.03494,0
diff 12_1,1,1_1_1_1,"[[GL b0], [FL b0 table], [GR b1], [FR b1 b0]]",4,74.9635,0
diff 7_1,1,1_1_2_1_1_1,"[[GL b0], [FL b0 table], [GR b2], [FR b2 table], [GR b1], [FR b1 table]]",6,103.1123,0
diff 17_1,1,1_1_1_1,"[[GL b0], [FL b0 c7], [GR b1], [FR b1 b0]]",4,119.734,0
diff 15_1,1,1_1_4_1_3_1_2_1_1_1,"[[GL b4], [FL b4 table], [GR b1], [FR b1 table], [GL b2], [FL b2 table], [GL b0], [FL b0 table], [GR b3], [FR b3 table]]",10,214.03528,0
diff 13_1,1,1_1_4_1_3_1_2_1_1_1,"[[GR c10], [FR c10 table], [GR c9], [FR c9 table], [GR c5], [FR c5 table], [GR c14], [FR c14 table], [GR c12], [FR c12 table]]",10,241.6304,0
diff 13_2,1,1_1_4_1_3_1_2_1_1_1,"[[GR c0], [FR c0 table], [GR c4], [FR c4 table], [GR c3], [FR c3 table], [GR c2], [FR c2 table], [GR c1], [FR c1 table]]",10,248.6022,0
diff 16_1,1,1_1_4_1_3_1_2_1_1_1,"[[GL b0], [FL b0 table], [GL b1], [FL b1 table], [GR b2], [FR b2 table], [GR b3], [FR b3 table], [GR b4], [FR b4 table]]",10,195.254,0
diff 18_1,1,1_1_1_1,"[[GL b6], [FL b6 table], [GL c6], [FL c6 table]]",4,137.3803,0
diff 9_2,1,1_1_7_1_6_1_5_1_4_1_3_1_2_1_1_1,"[[GL b7], [FL b7 table], [GL b6], [FL b6 table], [GL b5], [FL b5 table], [GL b4], [FL b4 table], [GR b3], [FR b3 table], [GR b2], [FR b2 table], [GR b1], [FR b1 table], [GR b0], [FR b0 table]]",16,274.60303,0
diff 8_1,1,1_1_4_1_3_1_2_1_4_1_3_1_2_1_1_1,"[[GL b0], [FL b0 table], [GL b1], [FL b1 b0], [GR b2], [FR b2 b1], [GR b3], [FR b3 b2], [GL b1], [FL b1 b0], [GL b2], [FL b2 b1], [GL b3], [FL b3 b2], [GR b4], [FR b4 b3]]",16,337.3109,1
diff 14_1,1,1_1_9_1_8_1_7_1_6_1_5_1_4_1_3_1_2_1_1_1,"[[GL b0], [FL b0 table], [GL b1], [FL b1 table], [GL b2], [FL b2 table], [GL b3], [FL b3 table], [GL b4], [FL b4 table], [GR b5], [FR b5 table], [GR b6], [FR b6 table], [GR b7], [FR b7 table], [GR b8], [FR b8 table], [GR b9], [FR b9 table]]",20,363.72933,0
diff 7_2,1,1_1_9_1_8_1_7_1_6_1_5_1_4_1_3_1_2_1_1_1,"[[GL b4], [FL b4 table], [GL b5], [FL b5 table], [GL b3], [FL b3 table], [GR b6], [FR b6 table], [GL b2], [FL b2 table], [GR b7], [FR b7 table], [GL b1], [FL b1 table], [GR b8], [FR b8 table], [GL b0], [FL b0 table], [GR b9], [FR b9 table]]",20,387.96365,0
