trial_name,KE
11_1,0
11_2,0
12_1,0
12_2,0.833333333
13_1,0
13_2,0
14_1,0
14_2,0.833333333
15_1,0
15_2,0
16_1,0
16_2,0
17_1,0.766666667
17_2,0.8
18_1,0
18_2,0.9
19_1,0.8
19_2,0.8
20_1,0.966666667
20_2,0.9
21_1,0
21_2,0
22_1,0.133333333
22_2,1
23_1,0
23_2,0
25_1,0
25_2,0
26_1,0
26_2,0.566666667
27_1,0
27_2,0
28_1,0
28_2,0.533333333
29_1,0
29_2,0
30_1,0
30_2,0
31_1,0.6
31_2,0.633333333
33_1,0.833333333
33_2,0.7
34_1,0.766666667
34_2,0.633333333
57_1,0.7
57_2,0.7
7_1,0
7_2,0
8_1,0.5
8_2,0.8
9_1,0
9_2,0
