"id","Friction_Level","Gender","Age","Tower_Type","Difficulty","Time"
"43205188","High","Male","41-45","5 Horizontal",1,90
"92604790","Low","Female","18-21","5 Horizontal",3,60
"80075120","High","Female","26-30","5 Horizontal",3,25
"67121004","Low","Female","22-25","5 Horizontal",3,60
"13976819","Low","Female","18-21","5 Horizontal",2,60
"21374483","High","Female","18-21","5 Horizontal",2,90
"39791663","Low","Male","18-21","5 Horizontal",1,90
"24027787","High","Male","18-21","5 Horizontal",1,45
"91626975","High","Female","18-21","5 Horizontal",2,45
"41260218","High","Female","18-21","5 Horizontal",1,12
"41695379","Low","Female","18-21","5 Horizontal",2,120
"94013566","High","Male","18-21","5 Horizontal",2,40
"29609510","High","Female","18-21","5 Horizontal",5,300
"58153014","Low","Female ","18-21","5 Horizontal",1,60
"24224636","High","Female","18-21","5 Horizontal",6,180
"40092175","Low","Male","18-21","5 Horizontal",6,180
"19927848","Low","Female","18-21","5 Horizontal",2,45
"87545205","Low","Female","18-21","5 Horizontal",1,15
"29681170","High","Female","18-21","5 Horizontal",2,20
"47086925","Low","Male","22-25","5 Horizontal",3,60
"61385450","Low","Male","18-21","5 Horizontal",4,300
"74761242","High","Female","18-21","5 Horizontal",4,45
"43974880","High","Female","18-21","5 Horizontal",3,40
"67637968","Low","Female","18-21","5 Horizontal",2,30
"86162389","Low","Male","18-21","5 Horizontal",3,45
"63276094","High","Male","18-21","5 Horizontal",3,30
"37751379","Low","Male","18-21","5 Horizontal",3,60
"78738374","Low","Male ","18-21","5 Horizontal",1,15
"53010697","Low","Female","22-25","5 Horizontal",3,180
"12523894","High","Female","18-21","5 Horizontal",5,45
"61167533","Low","Female","18-21","5 Horizontal",1,30
"56609010","Low","Female","18-21","5 Horizontal",5,90
"41684719","Low","Male","18-21","5 Horizontal",5,240
"29912987","High","Female","18-21","5 Horizontal",2,40
"63765461","High","Female","18-21","5 Horizontal",4,160
"45338874","High","Female","18-21","5 Horizontal",8,240
"70386245","High","Male","22-25","5 Horizontal",2,30
"35207737","High","Female","18-21","5 Horizontal",1,15
"82493764","Low","Male","18-21","5 Horizontal",3,45
"89751437","High","Female","18-21","5 Horizontal",6,270
"43205188","High","Male","41-45","5 Vertical",2,120
"92604790","Low","Female","18-21","5 Vertical",4,60
"80075120","High","Female","26-30","5 Vertical",5,40
"67121004","Low","Female","22-25","5 Vertical",5,60
"13976819","Low","Female","18-21","5 Vertical",4,60
"21374483","High","Female","18-21","5 Vertical",2,120
"39791663","Low","Male","18-21","5 Vertical",4,165
"24027787","High","Male","18-21","5 Vertical",4,90
"91626975","High","Female","18-21","5 Vertical",1,30
"41260218","High","Female","18-21","5 Vertical",2,15
"41695379","Low","Female","18-21","5 Vertical",7,600
"94013566","High","Male","18-21","5 Vertical",5,45
"29609510","High","Female","18-21","5 Vertical",3,240
"58153014","Low","Female ","18-21","5 Vertical",8,900
"24224636","High","Female","18-21","5 Vertical",7,300
"40092175","Low","Male","18-21","5 Vertical",10,1500
"19927848","Low","Female","18-21","5 Vertical",5,90
"87545205","Low","Female","18-21","5 Vertical",8,120
"29681170","High","Female","18-21","5 Vertical",4,40
"47086925","Low","Male","22-25","5 Vertical",5,120
"61385450","Low","Male","18-21","5 Vertical",6,900
"74761242","High","Female","18-21","5 Vertical",4,75
"43974880","High","Female","18-21","5 Vertical",5,75
"67637968","Low","Female","18-21","5 Vertical",4,60
"86162389","Low","Male","18-21","5 Vertical",5,90
"63276094","High","Male","18-21","5 Vertical",4,45
"37751379","Low","Male","18-21","5 Vertical",6,240
"78738374","Low","Male ","18-21","5 Vertical",3,25
"53010697","Low","Female","22-25","5 Vertical",7,480
"12523894","High","Female","18-21","5 Vertical",5,30
"61167533","Low","Female","18-21","5 Vertical",7,90
"56609010","Low","Female","18-21","5 Vertical",7,150
"41684719","Low","Male","18-21","5 Vertical",4,240
"29912987","High","Female","18-21","5 Vertical",3,45
"63765461","High","Female","18-21","5 Vertical",4,160
"45338874","High","Female","18-21","5 Vertical",10,540
"70386245","High","Male","22-25","5 Vertical",4,40
"35207737","High","Female","18-21","5 Vertical",2,35
"82493764","Low","Male","18-21","5 Vertical",6,210
"89751437","High","Female","18-21","5 Vertical",4,270
"43205188","High","Male","41-45","10 Horizontal",3,120
"92604790","Low","Female","18-21","10 Horizontal",6,120
"80075120","High","Female","26-30","10 Horizontal",4,40
"67121004","Low","Female","22-25","10 Horizontal",5,120
"13976819","Low","Female","18-21","10 Horizontal",4,90
"21374483","High","Female","18-21","10 Horizontal",3,150
"39791663","Low","Male","18-21","10 Horizontal",2,90
"24027787","High","Male","18-21","10 Horizontal",2,NA
"91626975","High","Female","18-21","10 Horizontal",2,60
"41260218","High","Female","18-21","10 Horizontal",1,15
"41695379","Low","Female","18-21","10 Horizontal",2,150
"94013566","High","Male","18-21","10 Horizontal",3,52
"29609510","High","Female","18-21","10 Horizontal",4,300
"58153014","Low","Female ","18-21","10 Horizontal",1,120
"24224636","High","Female","18-21","10 Horizontal",8,240
"40092175","Low","Male","18-21","10 Horizontal",8,600
"19927848","Low","Female","18-21","10 Horizontal",4,45
"87545205","Low","Female","18-21","10 Horizontal",2,30
"29681170","High","Female","18-21","10 Horizontal",3,45
"47086925","Low","Male","22-25","10 Horizontal",4,90
"61385450","Low","Male","18-21","10 Horizontal",8,900
"74761242","High","Female","18-21","10 Horizontal",6,90
"43974880","High","Female","18-21","10 Horizontal",5,190
"67637968","Low","Female","18-21","10 Horizontal",3,45
"86162389","Low","Male","18-21","10 Horizontal",4,30
"63276094","High","Male","18-21","10 Horizontal",4,60
"37751379","Low","Male","18-21","10 Horizontal",4,90
