id,group,condition,InsR,Number_TriCir,Number_TriCir_Exp,Number_Cross,Number_Cross_Exp,Number_Vert,Number_Vert_Exp,Number_Horz,Number_Horz_Exp,Init_Horz,Init_Horz_Exp,Init_Vert,Init_Vert_Exp,TwoBlocks_TenBlocks,TwoBlocks_TenBlocks_Exp,Init_Distance,Init_Distance_Exp,Fin_Distance,Fin_Distance_Exp,Init_Sorted,Init_Sorted_Exp,Pattern_NoPattern,Pattern_NoPattern_Exp,Sampling_Check1,Sampling_Check2,Sampling,Sampling_Exp,Box_Castle,Box_Castle_Exp,TwoPile_Castle,TwoPile_Castle_Exp,Vert_Horz,Vert_Horz_Exp,Age_Check1,Age_Check2,Adult_Child,Adult_Child_Exp,Sling_Check1,Sling_Check2,Sling_TwoHands,Sling_TwoHands_Exp,OneAgent_TwoAgent,OneAgent_TwoAgent_Exp,Strategy,gender,age,include,include_why
1,adult,easy,1,1,Less blocks to move,1,Used less pieces,1,Three times less work,1,Less blocks to move,1,It involved putting together less blocks,1,Less blocks to stack,1,Could hold blocks together and move them. Much less work,1,Had to move the blocks less distance,1,Moved the blocks just right in front of her,0,"fewer blocks to move",1,No colors to assort,1,1,1,less blue blocks to sort through,1,no stacking required,1,no stacking,1,No stacking and balancing to worry about,1,1,1,John has tiny hands,1,1,1,Double the hands,1,"Half the work for each of them",The least amount of energy expenditure required.,0,23,1,
2,adult,easy,1,1,Paige used more blocks.,1,Sarah used more parts.,1,What Sally made has more parts.,1,Sarah had to use more things.,1,Sophie had to move more into the line.,1,Quinn only had to move three blocks.,1,Beth had to get more blocks to balance.,1,Danielle's were further away.,1,Kara moved hers to the side.,1,Emma had to sort the blocks herself.,1,"Kelly also sorted them by color, so there were 2 factors.",1,1,1,Claire had to search harder to find red blocks.,1,Sam created a pattern; Tom just tossed blocks into the bin.,1,Carol only separated them; Lisa made them into something.,1,Tessa had to also balance the blocks to keep them from falling over.,1,1,1,Kara is older and has better hand/eye coordination and is probably more patient.,1,1,1,Eric could balance with two hands; Marcus had to do it with one.,1,Claire had to do both piles herself. Jordan and Sarah had twice as many hands to work with.,"I based it on how many steps were involved in the process (for example lining up or lining up + balancing), and if the person(s) had any advantages or disadvantages.",1,22,1,
3,adult,easy,1,1,Amanda had fewer pieces compared to Paige.,1,Meg had fewer pieces and an easier pattern.,1,Anne had fewer pieces.,1,Jill had fewer pieces.,1,Jessicas was almost complete already.,1,Quinns was almost done before she started.,1,It required only two pieces.,1,Jane didn't have to move to the side to get her blocks.,1,She didn't have to move to the side to build it.,1,Rose had her blocks already color coordinated.,1,Grace didn't have to use only color after another.,1,1,1,"She had more red blocks, making it easier to sort through her bowl for them.",1,Tom just had to drop his blocks into a bowl.,1,Carol just had to sort hers by color.,1,She doesn't have to balance her blocks vertically.,1,1,1,John isn't as old as Kara and doesn't have as much experience.,1,1,1,Because he could use two arms.,1,There are two of them as opposed to one.,"No real strategy, just used common sense. ",0,24,1,
4,adult,easy,1,1,Amanda had a simple design,1,Meg's took less blocks,1,Anne's had less blocks,1,Her design is simple,1,Jessica only had to move a few blocks,1,Quinn didn't have much work to do,0,Beth had more blocks,1,Jane's blocks were already in front of her,1,Linda made her structure in front of her,1,Rose's blocks were already separated.,1,It didn't require color coordination,1,1,1,Jen had a bunch of red blocks on top,1,All Tom did was dump the blocks in the container,1,Carol only separated the colors,1,Liz didn't have to make the blocks stand,1,1,1,She is older and it didn't require much effort for her,1,1,1,Eric had use of both arms,1,The only had to make one structure each,I just looked at what each person had to accomplish,1,30,1,
5,adult,easy,1,1,There's only three blocks and they're just higher and lower. ,1,Because there are few blocks. ,1,Because Anne only had to make one tower.,1,Because there are less blocks and just one straight line.,1,Cause Jessica only had two blocks to put into place.,1,Because some where already assembled for Quinn.,1,Kate's cause she could just grab the whole assembled row and stand them upright. The second one is tricky but still faster than Beth's either way.,1,Jane's blocks where in front of her which makes grabbing them a bit easier than Danielle's.,1,Because the shape is in front of her where as Kara had to form the shape to her side.,1,Rose cause hers are already color coordinated where as Emma has to sort through the bunch.,1,"Grace cause she just ahs to stack them, Kelly has to stack them by every other color.",1,1,1,Jen's cause she has more red blocks. Claire would have to sort though all the blue blocks.,1,Tom's cause he just had to put all the blocks into the container and flip it over onto the table.,1,"Carol cause she just has to sort colors onto each side, Lisa has to create a shape.",1,Liz's cause she doesn't have to worry about the blocks toppling over.,1,1,0,John cause he's a kid so he's probably use to playing with blocks and such.,1,1,0,Cause he has two working arms.,1,Jordan and Sarah cause two makes the task easier than one person.,I just pictured myself in those situation's and went through it in my mind and based my answer on how I would judge them if I were there doing the tasks.,0,24,1,
6,adult,easy,1,1,Hers has less blocks.,1,It has less blocks.,1,Anne's involved less blocks.,1,Hers has less blocks.,1,Most of the blocks were already in a line.,0,Quinn had to take the blocks apart.,0,Kate had to take the blocks apart.,1,The blocks were in front of her.,1,Linda was able to work in front of her.,1,Emma had to unscramble the blocks.,1,Kelly had to alternate colors.,1,1,1,Most of her blocks are red.,1,He just dumped the blocks in.,1,Lisa had to build something.,1,Tessa had to balance the blocks.,1,1,1,John is younger.,1,1,1,He has both arms.,1,They each only had to do half the work.,"If someone had to move more to get the blocks, separate them, balance them, use more blocks, etc., I thought it was harder.",0,29,1,
7,adult,easy,0,0,Took less imagination.,1,Took less time and movement.,1,Less time and effort.,1,Less time and thought needed.,0,Both the same.,1,Both the same.,0,Both the same.,0,Both the same.,0,Less time.,0,Both the same.,1,Had to stack colors in order.,1,1,1,Less organized.,1,Just had to put them into the bag.,1,Easier than stacking.,1,Easier than stacking.,1,1,0,Younger and more recent experience with blocks.,1,1,0,Didn't have a sling.,1,Could each do 1.,Just looked at what it was and saw which was easier.,0,45,0,WARMUP
8,adult,easy,1,1,there are less blocks,1,Because it uses less blocks,1,there were less blocks,1,Because it uses less blocks,1,it was almost mostly made already,1,It had more of it built,0,Because it wasn't already made into sometihng else,1,because her blocks are already in front of her to start,1,Because it's in front of her,1,the colors were already organized,1,becasue she didn't have to alternate it,1,1,1,she had more red blocks,1,becaseu it didn't take percision,1,because she didn't have to make a figure,1,becasue she didn't have to balance them,1,1,1,because she's older,1,1,1,because he didn't have a sling,1,because there were two of them,I answered them with what I assumed was common sense,1,28,1,
9,adult,easy,1,1,its only a couple scattered blocks,1,only had a few blocks,0,she used more blocks to build more,1,its only a straight line vs a triangle,1,she only added  2 blocks,0,she had to assemble more,1,only had 2 blocks to use,1,her blocks were already laid out in front of her,1,its right in front of her and easier to see,0,she had fewer blocks to use,1,her's is less complex and homogenic,1,1,1,she had more red to work with,1,he didn't build anythiing,1,she just sorted them and didnt build anything,1,it's laying flat instead of a tower,1,1,1,she's older and more coordinated,1,1,1,he had 2 hands to use,1,they only had to build one each,by the complexity of their build or design and what they had to work with was my reasoning behind my choices,0,53,1,
10,adult,easy,0,0,tough to handle oit,1,It is good to see this,0,Sally made easier way ,0,easy to understnd,1,he arrange the cubes in correct order,0,to cube the ruthe made easier,1,easy to concentrate on it ,1,Jane did easy ,1,Linda is easier in solving this,1,rose made is easier,1,grace made is easier o fit ,0,1,0,easy to indeitfy the red cubes,1,tom made easy to arrange,0,It is ewasy ,0,It is tough to identify,1,1,1,kara mde it is easy ,0,0,1,marcus has tough ,0,he easliy arrange ,I follow the instruction which is given in the picture,0,26,0,WARMUP
