,subject,age,age_rounded,gender,question_type,trial_number,trial_type,correct,trial_name
1,6dJ7WA,3.69,3,m,easier,1,simple,1,Number1
2,6dJ7WA,3.69,3,m,easier,2,simple,1,Stability1
3,6dJ7WA,3.69,3,m,easier,3,simple,1,Num_Stab
4,6dJ7WA,3.69,3,m,easier,4,simple,1,Number3
5,6dJ7WA,3.69,3,m,easier,5,simple,1,Number4
6,6dJ7WA,3.69,3,m,easier,6,simple,0,Number2
7,6dJ7WA,3.69,3,m,easier,7,complex,0,Process2
8,6dJ7WA,3.69,3,m,easier,8,complex,0,Probability
9,6dJ7WA,3.69,3,m,easier,9,complex,1,Process1
10,6dJ7WA,3.69,3,m,easier,10,complex,0,Process3
11,6dJ7WA,3.69,3,m,easier,11,agent,1,Cooperation
12,6dJ7WA,3.69,3,m,easier,12,agent,1,Sling
13,6dJ7WA,3.69,3,m,easier,13,agent,0,Child_Adult
14,5HYZBN,3.78,3,f,harder,1,simple,0,Number1
15,5HYZBN,3.78,3,f,harder,2,simple,1,Number3
16,5HYZBN,3.78,3,f,harder,3,simple,1,Number4
17,5HYZBN,3.78,3,f,harder,4,simple,1,Num_Stab
18,5HYZBN,3.78,3,f,harder,5,simple,1,Number2
19,5HYZBN,3.78,3,f,harder,6,simple,0,Stability1
20,5HYZBN,3.78,3,f,harder,7,complex,1,Process3
21,5HYZBN,3.78,3,f,harder,8,complex,1,Process2
22,5HYZBN,3.78,3,f,harder,9,complex,1,Process1
23,5HYZBN,3.78,3,f,harder,10,complex,1,Probability
24,5HYZBN,3.78,3,f,harder,11,agent,1,Cooperation
25,5HYZBN,3.78,3,f,harder,12,agent,1,Child_Adult
26,5HYZBN,3.78,3,f,harder,13,agent,1,Sling
27,7K4cSQ,3.2,3,f,harder,1,simple,1,Number3
28,7K4cSQ,3.2,3,f,harder,2,simple,1,Stability1
29,7K4cSQ,3.2,3,f,harder,3,simple,1,Number1
30,7K4cSQ,3.2,3,f,harder,4,simple,1,Number4
31,7K4cSQ,3.2,3,f,harder,5,simple,0,Num_Stab
32,7K4cSQ,3.2,3,f,harder,6,simple,0,Number2
33,7K4cSQ,3.2,3,f,harder,7,complex,1,Probability
34,7K4cSQ,3.2,3,f,harder,8,complex,1,Process1
35,7K4cSQ,3.2,3,f,harder,9,complex,0,Process2
36,7K4cSQ,3.2,3,f,harder,10,complex,1,Process3
37,7K4cSQ,3.2,3,f,harder,11,agent,1,Child_Adult
38,7K4cSQ,3.2,3,f,harder,12,agent,0,Cooperation
39,7K4cSQ,3.2,3,f,harder,13,agent,1,Sling
40,AEPRQZ,3.45,3,m,easier,1,simple,1,Number4
41,AEPRQZ,3.45,3,m,easier,2,simple,0,Number3
42,AEPRQZ,3.45,3,m,easier,3,simple,1,Num_Stab
43,AEPRQZ,3.45,3,m,easier,4,simple,1,Number2
44,AEPRQZ,3.45,3,m,easier,5,simple,0,Number1
45,AEPRQZ,3.45,3,m,easier,6,simple,1,Stability1
46,AEPRQZ,3.45,3,m,easier,7,complex,1,Process1
47,AEPRQZ,3.45,3,m,easier,8,complex,0,Probability
48,AEPRQZ,3.45,3,m,easier,9,complex,0,Process3
49,AEPRQZ,3.45,3,m,easier,10,complex,1,Process2
50,AEPRQZ,3.45,3,m,easier,11,agent,1,Cooperation
51,AEPRQZ,3.45,3,m,easier,12,agent,0,Child_Adult
52,AEPRQZ,3.45,3,m,easier,13,agent,0,Sling
53,YE2Fd2,3.61,3,m,harder,1,simple,0,Number2
54,YE2Fd2,3.61,3,m,harder,2,simple,1,Number3
55,YE2Fd2,3.61,3,m,harder,3,simple,1,Number1
56,YE2Fd2,3.61,3,m,harder,4,simple,0,Stability1
57,YE2Fd2,3.61,3,m,harder,5,simple,1,Num_Stab
58,YE2Fd2,3.61,3,m,harder,6,simple,1,Number4
59,YE2Fd2,3.61,3,m,harder,7,complex,0,Process1
60,YE2Fd2,3.61,3,m,harder,8,complex,1,Process2
61,YE2Fd2,3.61,3,m,harder,9,complex,1,Probability
62,YE2Fd2,3.61,3,m,harder,10,complex,1,Process3
63,YE2Fd2,3.61,3,m,harder,11,agent,0,Sling
64,YE2Fd2,3.61,3,m,harder,12,agent,1,Cooperation
65,YE2Fd2,3.61,3,m,harder,13,agent,1,Child_Adult
66,EcZLW4,3.12,3,m,easier,1,simple,1,Num_Stab
67,EcZLW4,3.12,3,m,easier,2,simple,1,Number1
68,EcZLW4,3.12,3,m,easier,3,simple,0,Number2
69,EcZLW4,3.12,3,m,easier,4,simple,0,Number4
70,EcZLW4,3.12,3,m,easier,5,simple,1,Stability1
71,EcZLW4,3.12,3,m,easier,6,simple,1,Number3
72,EcZLW4,3.12,3,m,easier,7,complex,1,Probability
73,EcZLW4,3.12,3,m,easier,8,complex,0,Process2
74,EcZLW4,3.12,3,m,easier,9,complex,1,Process1
75,EcZLW4,3.12,3,m,easier,10,complex,0,Process3
76,EcZLW4,3.12,3,m,easier,11,agent,0,Sling
77,EcZLW4,3.12,3,m,easier,12,agent,1,Cooperation
78,EcZLW4,3.12,3,m,easier,13,agent,1,Child_Adult
79,JcH75C,3.28,3,m,easier,1,simple,0,Number1
80,JcH75C,3.28,3,m,easier,2,simple,0,Number4
81,JcH75C,3.28,3,m,easier,3,simple,0,Num_Stab
82,JcH75C,3.28,3,m,easier,4,simple,0,Number3
83,JcH75C,3.28,3,m,easier,5,simple,0,Number2
84,JcH75C,3.28,3,m,easier,6,simple,1,Stability1
85,JcH75C,3.28,3,m,easier,7,complex,1,Probability
86,JcH75C,3.28,3,m,easier,8,complex,1,Process3
87,JcH75C,3.28,3,m,easier,9,complex,0,Process2
88,JcH75C,3.28,3,m,easier,10,complex,1,Process1
89,JcH75C,3.28,3,m,easier,11,agent,1,Sling
90,JcH75C,3.28,3,m,easier,12,agent,1,Child_Adult
91,JcH75C,3.28,3,m,easier,13,agent,1,Cooperation
92,Mc5R7U,3.28,3,m,harder,1,simple,1,Number4
93,Mc5R7U,3.28,3,m,harder,2,simple,1,Stability1
94,Mc5R7U,3.28,3,m,harder,3,simple,0,Num_Stab
95,Mc5R7U,3.28,3,m,harder,4,simple,0,Number2
96,Mc5R7U,3.28,3,m,harder,5,simple,1,Number3
97,Mc5R7U,3.28,3,m,harder,6,simple,1,Number1
98,Mc5R7U,3.28,3,m,harder,7,complex,1,Process3
99,Mc5R7U,3.28,3,m,harder,8,complex,1,Probability
100,Mc5R7U,3.28,3,m,harder,9,complex,1,Process1
101,Mc5R7U,3.28,3,m,harder,10,complex,0,Process2
102,Mc5R7U,3.28,3,m,harder,11,agent,1,Sling
103,Mc5R7U,3.28,3,m,harder,12,agent,0,Child_Adult
104,Mc5R7U,3.28,3,m,harder,13,agent,0,Cooperation
105,dRPAV4,3.04,3,m,easier,1,simple,1,Number3
106,dRPAV4,3.04,3,m,easier,2,simple,1,Num_Stab
107,dRPAV4,3.04,3,m,easier,3,simple,1,Number2
108,dRPAV4,3.04,3,m,easier,4,simple,1,Stability1
109,dRPAV4,3.04,3,m,easier,5,simple,1,Number4
110,dRPAV4,3.04,3,m,easier,6,simple,1,Number1
111,dRPAV4,3.04,3,m,easier,7,complex,0,Process3
112,dRPAV4,3.04,3,m,easier,8,complex,1,Process2
113,dRPAV4,3.04,3,m,easier,9,complex,1,Process1
114,dRPAV4,3.04,3,m,easier,10,complex,0,Probability
115,dRPAV4,3.04,3,m,easier,11,agent,1,Sling
116,dRPAV4,3.04,3,m,easier,12,agent,0,Child_Adult
117,dRPAV4,3.04,3,m,easier,13,agent,0,Cooperation
118,BHLcQQ,3.78,3,m,harder,1,simple,0,Number3
119,BHLcQQ,3.78,3,m,harder,2,simple,1,Number4
120,BHLcQQ,3.78,3,m,harder,3,simple,1,Stability1
121,BHLcQQ,3.78,3,m,harder,4,simple,1,Number1
122,BHLcQQ,3.78,3,m,harder,5,simple,1,Num_Stab
123,BHLcQQ,3.78,3,m,harder,6,simple,1,Number2
124,BHLcQQ,3.78,3,m,harder,7,complex,0,Process3
125,BHLcQQ,3.78,3,m,harder,8,complex,1,Process1
126,BHLcQQ,3.78,3,m,harder,9,complex,0,Process2
127,BHLcQQ,3.78,3,m,harder,10,complex,0,Probability
128,BHLcQQ,3.78,3,m,harder,11,agent,1,Cooperation
129,BHLcQQ,3.78,3,m,harder,12,agent,1,Sling
130,BHLcQQ,3.78,3,m,harder,13,agent,1,Child_Adult
131,QLT7EA,3.78,3,m,easier,1,simple,0,Number2
132,QLT7EA,3.78,3,m,easier,2,simple,1,Stability1
133,QLT7EA,3.78,3,m,easier,3,simple,1,Number4
134,QLT7EA,3.78,3,m,easier,4,simple,0,Number3
135,QLT7EA,3.78,3,m,easier,5,simple,1,Number1
136,QLT7EA,3.78,3,m,easier,6,simple,0,Num_Stab
137,QLT7EA,3.78,3,m,easier,7,complex,0,Process1
138,QLT7EA,3.78,3,m,easier,8,complex,0,Process2
139,QLT7EA,3.78,3,m,easier,9,complex,0,Probability
140,QLT7EA,3.78,3,m,easier,10,complex,0,Process3
141,QLT7EA,3.78,3,m,easier,11,agent,0,Child_Adult
142,QLT7EA,3.78,3,m,easier,12,agent,1,Sling
143,QLT7EA,3.78,3,m,easier,13,agent,1,Cooperation
144,UKNJRK,3.69,3,m,harder,1,simple,1,Number3
145,UKNJRK,3.69,3,m,harder,2,simple,1,Number1
146,UKNJRK,3.69,3,m,harder,3,simple,1,Number2
147,UKNJRK,3.69,3,m,harder,4,simple,1,Stability1
148,UKNJRK,3.69,3,m,harder,5,simple,1,Num_Stab
149,UKNJRK,3.69,3,m,harder,6,simple,1,Number4
150,UKNJRK,3.69,3,m,harder,7,complex,1,Process3
151,UKNJRK,3.69,3,m,harder,8,complex,1,Process2
152,UKNJRK,3.69,3,m,harder,9,complex,0,Probability
153,UKNJRK,3.69,3,m,harder,10,complex,1,Process1
154,UKNJRK,3.69,3,m,harder,11,agent,0,Child_Adult
155,UKNJRK,3.69,3,m,harder,12,agent,1,Sling
156,UKNJRK,3.69,3,m,harder,13,agent,0,Cooperation
157,Q4U47M,3.12,3,m,harder,1,simple,1,Number2
158,Q4U47M,3.12,3,m,harder,2,simple,1,Number1
159,Q4U47M,3.12,3,m,harder,3,simple,1,Stability1
